shadow_id,trading_day,scan_id,observed_at,symbol,v1_entry_type,v1_entry_quality,v2_suggested_entry,v2_entry_efficiency_score,v2_trend_age_bars,v2_pullback_number,v2_bars_since_breakout,v2_ema9_extension_atr,v2_vwap_extension_atr,v2_entry_reason,v2_shadow_trade_status,v2_shadow_entry_time,v2_shadow_entry_price,v2_shadow_risk_reward,v1_exit_signal,v1_exit_reason,v2_exit_signal,v2_exit_phase,v2_trend_health_score,v2_trend_health_status,v2_trend_failure_confirmed,v2_exit_confidence_score,v2_exit_health_state,v2_soft_confirmation_count,v2_soft_confirmation_streak,v2_grace_zone_active,v2_mfe_r,v2_rr_progress,v1_v2_entry_disagrees,engine_difference_reason,v2_shadow_exit_signal,v2_shadow_exit_phase,v2_shadow_final_r
7f8c704c2f3826c7371b9328,2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,QQQ,EMA_REJECTION_SHORT,HIGH,False,15.0,13.0,3.0,8.0,0.534,2.317,LATE_TREND_OR_EXTENSION,NO_SHADOW_TRADE,,,,False,No active trade,False,NO_ACTIVE_TRADE,,,False,,,,,,,,True,LATE_TREND_OR_EXTENSION,False,NO_SHADOW_TRADE,
28e8031ac8166b39b7e983e3,2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,SPY,VWAP_REJECTION,HIGH,False,61.0,1.0,2.0,39.0,0.632,0.274,LATE_TREND_OR_EXTENSION,NO_SHADOW_TRADE,,,,False,No active trade,False,NO_ACTIVE_TRADE,,,False,,,,,,,,True,LATE_TREND_OR_EXTENSION,False,NO_SHADOW_TRADE,
2614f1771158fa8cb5bca3c7,2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,NVDA,NO_ENTRY,NONE,False,60.0,0.0,2.0,18.0,0.376,1.03,LATE_TREND_OR_EXTENSION,NO_SHADOW_TRADE,,,,False,No active trade,False,NO_ACTIVE_TRADE,,,False,,,,,,,,False,,False,NO_SHADOW_TRADE,
c3ae69c3d6224b6939473c32,2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,AAPL,NO_ENTRY,NONE,False,36.0,19.0,2.0,16.0,0.076,4.718,LATE_TREND_OR_EXTENSION,NO_SHADOW_TRADE,,,,False,No active trade,False,NO_ACTIVE_TRADE,,,False,,,,,,,,False,,False,NO_SHADOW_TRADE,
fcbe5760ed6f4c42535e99b5,2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,MSFT,EMA_PULLBACK,HIGH,False,61.0,2.0,2.0,16.0,0.033,1.759,LATE_TREND_OR_EXTENSION,NO_SHADOW_TRADE,,,,False,No active trade,False,NO_ACTIVE_TRADE,,,False,,,,,,,,True,LATE_TREND_OR_EXTENSION,False,NO_SHADOW_TRADE,
81b6dd6ad6793af54e710019,2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,AMZN,NO_ENTRY,NONE,False,70.0,0.0,1.0,37.0,0.088,1.431,LATE_TREND_OR_EXTENSION,NO_SHADOW_TRADE,,,,False,No active trade,False,NO_ACTIVE_TRADE,,,False,,,,,,,,False,,False,NO_SHADOW_TRADE,
04b1363e9afc11c324b8d97d,2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,META,NO_ENTRY,NONE,False,0.0,27.0,4.0,16.0,1.197,2.798,LATE_TREND_OR_EXTENSION,NO_SHADOW_TRADE,,,,False,No active trade,False,NO_ACTIVE_TRADE,,,False,,,,,,,,False,,False,NO_SHADOW_TRADE,
b9dc37aa752725815a554cf9,2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,TSLA,NO_ENTRY,NONE,False,60.0,0.0,1.0,45.0,0.507,1.256,LATE_TREND_OR_EXTENSION,NO_SHADOW_TRADE,,,,False,No active trade,False,NO_ACTIVE_TRADE,,,False,,,,,,,,False,,False,NO_SHADOW_TRADE,
2d9d4428dadc742fe765e1cd,2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,AMD,NO_ENTRY,NONE,False,0.0,42.0,4.0,0.0,1.475,8.603,LATE_TREND_OR_EXTENSION,NO_SHADOW_TRADE,,,,False,No active trade,False,NO_ACTIVE_TRADE,,,False,,,,,,,,False,,False,NO_SHADOW_TRADE,
c50698e576d50e37b841e3c0,2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,AVGO,NO_ENTRY,NONE,False,86.0,0.0,1.0,42.0,0.072,0.136,LATE_TREND_OR_EXTENSION,NO_SHADOW_TRADE,,,,False,No active trade,False,NO_ACTIVE_TRADE,,,False,,,,,,,,False,,False,NO_SHADOW_TRADE,
